============== 거래 내역 ==============
[2025-08-02 05:30] 🟦 매수 | 가격: 158,102,000 | 수량: 0.000587 | 총 매수가격: 92,920 | 남은 자본: 371,682원
[2025-08-02 06:00] 🟦 매수 | 가격: 158,102,000 | 수량: 0.000470 | 총 매수가격: 74,336 | 남은 자본: 297,345원
[2025-08-02 06:30] 🟦 매수 | 가격: 158,102,000 | 수량: 0.000376 | 총 매수가격: 59,469 | 남은 자본: 237,876원
[2025-08-02 07:00] 🟦 매수 | 가격: 158,102,000 | 수량: 0.000301 | 총 매수가격: 47,575 | 남은 자본: 190,301원
[2025-08-02 07:30] 🟦 매수 | 가격: 158,102,000 | 수량: 0.000241 | 총 매수가격: 38,060 | 남은 자본: 152,241원
[2025-08-02 08:00] 🟦 매수 | 가격: 158,102,000 | 수량: 0.000192 | 총 매수가격: 30,448 | 남은 자본: 121,793원
[2025-08-02 08:30] 🟦 매수 | 가격: 158,102,000 | 수량: 0.000154 | 총 매수가격: 24,359 | 남은 자본: 97,434원
[2025-08-03 01:00] 🟦 매수 | 가격: 158,000,000 | 수량: 0.000123 | 총 매수가격: 19,487 | 남은 자본: 77,947원
[2025-08-03 01:30] 🟦 매수 | 가격: 158,000,000 | 수량: 0.000099 | 총 매수가격: 15,589 | 남은 자본: 62,358원
[2025-08-03 02:00] 🟦 매수 | 가격: 158,000,000 | 수량: 0.000079 | 총 매수가격: 12,472 | 남은 자본: 49,886원
[2025-08-03 02:30] 🟦 매수 | 가격: 158,000,000 | 수량: 0.000063 | 총 매수가격: 9,977 | 남은 자본: 39,909원
[2025-08-03 03:00] 🟦 매수 | 가격: 158,000,000 | 수량: 0.000050 | 총 매수가격: 7,982 | 남은 자본: 31,927원
[2025-08-03 03:30] 🟦 매수 | 가격: 158,000,000 | 수량: 0.000040 | 총 매수가격: 6,385 | 남은 자본: 25,542원
[2025-08-03 04:00] 🟦 매수 | 가격: 158,000,000 | 수량: 0.000032 | 총 매수가격: 5,108 | 남은 자본: 20,433원
[2025-08-11 09:00] 🟥 매도 | 가격: 166,345,000 | 수량: 0.021736 | 실현 금액: 3,613,942 | 남은 자본: 3,634,375원
              ➞ 투자 수익: 172,821원 (평균 매수가: 158,311,080)
[2025-08-18 17:00] 🟦 매수 | 가격: 160,099,000 | 수량: 0.004538 | 총 매수가격: 726,875 | 남은 자본: 2,907,500원
